id,quality
1257,6.692
6409,5.77
136,4.974
1631,7.262
6084,5.928
5434,5.318
1094,5.03
5146,6.248
5921,6.592
1076,5.836
616,5.392
4336,6.4
219,6.016
6403,5.518
2397,6.74
5240,5.418
3696,5.766
1070,6.414
5890,5.494
1270,5.404
4641,5.152
5299,6.112
2494,5.008
5276,6.81
332,5.326
3671,5.096
6367,5.656
5681,6.134
1741,5.002
4715,5.894
1114,6.06
4105,5.892
825,5.986
88,6.42
4551,6.248
227,5.156
1369,6.306
3722,6.148
2341,6.256
4882,6.432
2382,5.508
4075,6.428
687,4.998
2350,5.252
2634,5.208
5751,5.102
5934,5.644
6286,5.1
6004,5.312
4696,6.042
5628,6.102
3066,5.28
6267,5.196
3950,5.322
1834,5.112
848,6.93
5852,5.718
3034,5.514
1074,5.938
1184,5.036
3788,6.604
3267,5.8
5640,5.274
2076,5.082
4634,4.592
2075,5.848
5741,6.018
5008,6.686
1485,5.314
2010,5.457
1899,5.13
3514,5.71
5819,4.94
5040,5.95
3998,5.422
6425,6.03
1733,5.028
2925,5.954
1528,5.67
2332,6.064
3492,5.116
6177,5.01
5338,6.152
2599,5.82
512,5.108
5118,5.624
4024,6.62
1095,5.144
965,5.92
1163,5.194
5773,5.566
4154,5.032
2968,5.174
2294,6.058
2652,5.764
4632,5.102
4585,5.688
754,5.092
3471,6.656
3506,5.002
1513,5.548
210,6.122
664,5.0
6414,5.922
2418,5.066
2468,6.466
1127,6.19
4820,6.402
495,5.782
6256,5.096
2732,5.038
3053,5.98
2954,5.248
3663,5.044
4410,5.138
2153,5.516
4691,5.59
2971,5.952
2616,5.036
102,5.008
1610,5.142
3766,5.638
3072,5.816
2951,5.852
2087,5.16
4593,5.722
6184,5.104
3347,5.578
2806,5.78
3083,5.692
1815,5.208
4814,5.256
6316,5.512
6480,5.684
6471,5.24
3173,6.196
3539,5.016
1247,5.548
2778,5.186
3534,5.89
963,6.506
708,6.002
4145,5.298
1594,6.096
5734,5.194
1304,5.24
3748,6.958
6189,5.548
3245,5.806
3697,5.938
1859,5.294
475,5.726
4161,6.06
775,5.872
2486,6.048
2791,6.01
3583,6.522
6186,6.726
5924,6.446
4788,5.778
2589,5.66
5305,6.572
3164,5.328
451,6.512
2376,5.044
13,6.042
4807,5.612
2748,5.052
4499,5.538
5033,5.298
2910,5.092
5570,5.842
2488,7.262
4109,6.456
4195,5.684
1881,5.852
2242,5.794
758,6.84
1474,5.468
5610,4.546
5587,4.819
1970,5.85
2657,5.264
4859,5.72
4333,6.572
6492,5.792
543,5.248
4270,6.166
3804,5.958
450,6.12
2786,5.624
3967,6.49
5568,6.092
2682,5.0
2277,5.018
3946,5.828
4308,5.102
856,6.304
1279,5.066
3987,5.142
5536,6.064
345,6.398
2172,6.012
2834,5.238
1286,5.97
6350,5.056
1908,6.76
5070,5.33
2933,7.262
1486,6.498
4128,5.038
1882,5.958
2937,6.54
4329,5.138
3839,5.632
4457,6.242
2773,6.188
4055,5.37
2437,6.336
1307,5.242
2912,6.538
987,5.81
5726,5.092
5554,5.046
3931,5.189
31,6.114
2800,6.092
3738,5.578
2716,4.992
270,5.514
5752,5.032
6226,5.128
3880,6.518
1258,5.924
2441,5.2
5410,7.374
5912,5.738
1411,6.214
3584,6.438
6234,4.239
4577,5.082
5471,5.21
2354,5.478
4310,6.042
4225,6.41
521,5.13
2938,5.526
5865,5.224
5590,5.6
372,5.76
6059,5.054
167,6.304
5936,5.776
5411,5.768
3507,5.156
3654,5.652
759,6.186
4614,5.754
4273,5.026
64,5.548
5986,5.536
4396,5.012
4671,6.57
3488,5.234
1642,5.002
3585,4.972
5097,6.038
4275,5.024
3157,6.626
3754,6.342
1045,5.674
4171,6.53
5257,5.252
277,6.81
3156,6.082
2513,5.156
6224,6.238
6300,6.172
2538,5.56
817,5.518
5565,5.0
4531,5.652
5999,5.81
2424,5.066
1056,4.594
2361,7.262
1896,5.266
804,5.9
4521,5.81
2337,6.35
980,5.054
3817,5.102
5550,5.468
2979,5.658
3357,5.322
2168,5.828
4570,6.048
4485,5.686
1830,5.954
4891,4.974
3284,5.916
1248,6.886
3168,5.47
2071,4.748
288,5.62
5346,5.038
4146,5.134
961,6.056
610,6.01
4727,6.724
479,5.774
4092,6.172
5548,5.91
5666,5.958
2394,5.134
3528,5.818
192,6.896
5749,6.272
3087,6.096
2813,5.218
3274,5.556
5594,5.715
1805,5.0
5193,5.722
436,4.966
400,6.53
356,5.998
4983,6.516
6441,6.756
4676,5.958
1191,5.282
5790,5.718
1314,5.096
2624,4.996
5625,5.746
3846,5.122
1718,6.024
4376,6.084
1837,6.016
5659,5.968
4591,5.656
1892,6.732
742,5.774
702,6.024
2174,5.603
172,5.978
255,6.53
1173,5.524
5078,5.588
425,5.056
3670,7.06
3355,5.828
662,6.684
2425,5.06
686,6.46
2836,5.75
292,5.978
1501,6.336
2282,6.384
2935,5.436
3934,6.038
3297,5.7
337,5.996
4643,6.812
3957,5.41
6133,5.09
5225,6.152
5913,5.832
4929,6.216
3364,7.262
1004,5.066
2201,6.614
5390,5.092
4444,5.45
4232,5.984
3204,4.996
2899,6.77
1640,5.87
974,5.138
5186,6.33
1680,6.424
4996,5.096
2302,5.08
5404,6.896
333,6.444
4023,5.07
2710,5.256
731,5.146
4424,5.886
4900,5.894
2195,5.764
5774,5.714
1431,6.06
3571,6.144
3940,6.042
3071,6.28
3502,6.27
4107,5.486
4223,5.894
2327,6.35
4181,5.812
216,5.434
5044,6.36
1898,5.312
3887,5.546
3740,6.086
419,5.666
5989,5.882
5266,5.0
2405,6.202
89,5.294
4832,5.11
5611,5.524
3391,6.028
464,4.961
1944,6.59
6080,5.204
1490,6.15
2873,5.38
145,5.984
3679,5.498
2444,4.98
1847,7.22
6280,6.422
185,6.64
3674,6.338
1268,6.508
5742,5.028
5034,5.726
1346,5.576
1773,5.066
5481,5.724
5343,5.508
2537,6.724
3711,5.792
1246,4.981
1867,6.504
480,4.994
2506,5.574
2613,4.672
5048,6.428
3044,5.898
592,6.132
3659,5.796
3214,5.828
1960,5.218
283,5.67
975,5.85
1422,5.186
4642,5.16
1716,4.516
3249,6.104
6272,6.112
1928,5.252
3149,5.092
2739,6.508
4687,6.444
3907,5.488
2291,6.442
1214,5.13
3774,5.456
4406,6.7
4940,5.04
6222,5.624
2399,5.288
1221,5.472
3452,6.006
2227,6.268
2807,5.692
3994,5.202
4302,5.058
629,5.866
540,4.492
4792,5.044
2324,5.878
4211,5.846
5007,6.45
4913,5.916
4695,5.386
4170,6.548
420,6.0
5013,5.24
3648,6.574
1219,5.61
1649,5.436
4745,5.07
181,5.008
3256,5.93
5704,5.772
3936,5.818
4575,5.082
104,5.938
3409,7.406
2156,5.932
2483,5.606
4568,5.612
2278,5.338
2869,6.358
4692,5.38
6139,5.59
3601,5.408
1227,6.428
1518,5.004
123,5.346
65,5.312
2991,4.928
852,5.81
4197,5.89
1728,5.844
1300,5.392
1018,4.968
6462,5.188
841,6.706
3831,5.362
86,5.976
5828,5.002
4594,6.33
1352,4.847
1670,5.0
5409,6.518
1406,5.85
1776,5.0
196,5.336
2875,5.13
1047,5.044
285,5.612
115,5.038
1958,6.266
5882,6.148
6323,6.092
5268,5.856
4601,5.622
4993,5.538
3706,5.106
4212,5.334
397,5.898
6027,5.708
507,6.686
5479,5.092
4509,6.144
2315,5.566
2029,5.342
3097,5.658
2231,5.294
4864,5.014
2281,5.946
2609,6.686
4987,5.61
1137,5.604
4083,5.0
3111,5.274
964,6.698
2158,5.504
911,6.402
5115,5.59
5772,5.992
5873,5.604
523,5.142
5006,5.89
5235,6.128
5796,6.496
2192,5.0
5914,5.6
472,5.832
1888,5.636
4889,6.438
6296,5.368
1051,5.89
3222,5.002
4294,5.594
786,5.186
1531,5.246
559,5.022
4917,5.47
2543,5.094
5561,5.085
632,5.234
6434,5.86
2856,5.14
822,5.203
3564,5.502
2120,5.632
2045,6.506
4048,4.986
3972,6.18
1863,4.66
137,5.206
2433,5.9
4300,5.444
4291,5.548
3902,5.428
3025,4.986
1053,5.694
5723,6.018
1880,5.182
4253,5.958
3737,5.91
1329,5.984
2725,5.16
3883,5.654
241,5.04
4527,5.318
3271,5.79
3464,5.255
5957,5.674
4970,5.434
6463,5.428
2421,6.47
950,7.262
5770,5.126
5802,4.766
4738,5.992
2364,5.432
5874,5.242
2144,5.5
1207,5.746
4088,5.898
3188,5.894
3421,5.036
2097,5.608
4652,5.426
620,6.318
3848,5.618
2646,6.476
4514,5.15
2884,6.572
732,5.15
4393,6.444
5908,5.834
2765,6.052
5745,5.375
5535,5.748
132,4.958
5418,5.196
4058,4.994
6260,6.44
118,6.874
2696,6.116
650,5.868
3352,5.716
1282,5.156
111,5.66
108,5.724
2853,6.242
4052,5.99
4248,5.044
5662,5.14
5331,6.74
3038,5.106
4946,6.576
4103,4.972
6201,6.594
3382,6.572
6049,6.14
4867,6.54
155,6.512
1715,5.2
432,5.322
5263,7.052
5617,5.694
6362,5.212
3349,5.064
1954,5.96
1775,5.628
3525,5.712
4731,5.362
2761,6.72
4278,5.556
5060,7.278
477,6.744
2923,6.064
4193,5.189
4174,5.43
729,6.446
5340,5.208
3405,6.26
5321,6.46
3821,5.01
2982,5.864
51,5.582
717,5.27
1141,5.998
5437,5.04
1613,4.998
2126,5.656
4095,5.292
81,6.438
3692,6.012
2057,5.236
415,5.078
5032,5.76
1040,6.016
6024,4.93
6479,6.068
6102,5.906
969,5.172
4236,6.174
1135,5.298
982,5.048
1334,6.358
6458,5.992
4885,5.966
4828,6.002
